Ticker,Janela,Estratégia,Previsões Razoáveis,Data,Acao,Preco,Quantidade,Valor Total,Saldo Restante
GGBR3.SA,Janela_4,Previsões Originais,True,2023-05-04_GGBR3.SA_Janela_4,Compra,17.788032531738285,555.6315417685397,9883.591940638684,0.0
GGBR3.SA,Janela_4,Previsões Originais,True,2023-05-05_GGBR3.SA_Janela_4,Venda,18.613985061645504,555.6315417685397,10342.517218258658,10342.517218258658
GGBR3.SA,Janela_4,Previsões Originais,True,2023-08-08_GGBR3.SA_Janela_4,Compra,20.6674861907959,500.42453749719283,10342.517218258658,0.0
GGBR3.SA,Janela_4,Previsões Originais,True,2023-08-10_GGBR3.SA_Janela_4,Venda,19.846921920776367,500.42453749719283,9931.88672294741,9931.88672294741
GGBR3.SA,Janela_4,Previsões Originais,True,2023-09-18_GGBR3.SA_Janela_4,Compra,19.45410346984864,510.5291404633762,9931.88672294741,0.0
GGBR3.SA,Janela_4,Previsões Originais,True,2023-09-19_GGBR3.SA_Janela_4,Venda,19.181091308593743,510.5291404633762,9792.5060589259,9792.5060589259
GGBR3.SA,Janela_4,Previsões Originais,True,2023-10-18_GGBR3.SA_Janela_4,Compra,16.89558219909668,579.5897379286198,9792.5060589259,0.0
GGBR3.SA,Janela_4,Previsões Originais,True,2023-10-19_GGBR3.SA_Janela_4,Venda,16.872182846069336,579.5897379286198,9778.94403403708,9778.94403403708
GGBR3.SA,Janela_4,Previsões Originais,True,2023-11-20_GGBR3.SA_Janela_4,Compra,18.29158973693848,534.6142229665934,9778.94403403708,0.0
GGBR3.SA,Janela_4,Previsões Originais,True,2023-11-21_GGBR3.SA_Janela_4,Venda,18.593799591064453,534.6142229665934,9940.509720373484,9940.509720373484
GGBR3.SA,Janela_4,Previsões Originais,True,2023-11-24_GGBR3.SA_Janela_4,Compra,17.750795364379883,560.003623292333,9940.509720373484,0.0
GGBR3.SA,Janela_4,Previsões Originais,True,2023-11-25_GGBR3.SA_Janela_4,Venda,17.750795364379883,560.003623292333,9940.509720373484,9940.509720373484
VALE3.SA,Janela_1,Previsões Originais,True,2023-01-02_VALE3.SA_Janela_1,Compra,74.0680160522461,135.01104164780384,10000.0,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-01-26_VALE3.SA_Janela_1,Venda,81.19312286376953,135.01104164780384,10961.968092475641,10961.968092475641
VALE3.SA,Janela_1,Previsões Originais,True,2023-01-27_VALE3.SA_Janela_1,Compra,78.97274780273438,138.8069732594019,10961.968092475641,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-02-15_VALE3.SA_Janela_1,Venda,73.73661804199219,138.8069732594019,10235.156768793542,10235.156768793542
VALE3.SA,Janela_1,Previsões Originais,True,2023-02-16_VALE3.SA_Janela_1,Compra,73.89402770996094,138.5112854988393,10235.156768793542,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-03-01_VALE3.SA_Janela_1,Venda,73.90231323242188,138.5112854988393,10236.304407160636,10236.304407160636
VALE3.SA,Janela_1,Previsões Originais,True,2023-03-02_VALE3.SA_Janela_1,Compra,73.73661804199219,138.822537281696,10236.304407160636,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-04-11_VALE3.SA_Janela_1,Venda,69.73387908935547,138.822537281696,9680.63402967933,9680.63402967933
VALE3.SA,Janela_1,Previsões Originais,True,2023-04-12_VALE3.SA_Janela_1,Compra,68.24369049072266,141.85390561484004,9680.63402967933,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-05-05_VALE3.SA_Janela_1,Venda,58.45589828491211,141.85390561484004,8292.197477938613,8292.197477938613
VALE3.SA,Janela_1,Previsões Originais,True,2023-05-06_VALE3.SA_Janela_1,Compra,58.45589828491211,141.85390561484004,8292.197477938613,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-05-17_VALE3.SA_Janela_1,Venda,59.16711425781249,141.85390561484004,8393.08624143019,8393.08624143019
VALE3.SA,Janela_1,Previsões Originais,True,2023-05-18_VALE3.SA_Janela_1,Compra,59.25178909301758,141.6511867389209,8393.08624143019,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-06-02_VALE3.SA_Janela_1,Venda,57.52452850341797,141.6511867389209,8148.417729106037,8148.417729106037
VALE3.SA,Janela_1,Previsões Originais,True,2023-06-03_VALE3.SA_Janela_1,Compra,57.52452850341797,141.6511867389209,8148.417729106037,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-07-03_VALE3.SA_Janela_1,Venda,56.07667922973632,141.6511867389209,7943.328161269947,7943.328161269947
VALE3.SA,Janela_1,Previsões Originais,True,2023-07-04_VALE3.SA_Janela_1,Compra,55.79727172851562,142.3605118171118,7943.328161269947,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-07-11_VALE3.SA_Janela_1,Venda,56.3730239868164,142.3605118171118,8025.292547441503,8025.292547441503
VALE3.SA,Janela_1,Previsões Originais,True,2023-07-12_VALE3.SA_Janela_1,Compra,56.77096939086913,141.36261250335926,8025.292547441503,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-07-24_VALE3.SA_Janela_1,Venda,59.14171600341796,141.36261250335926,8360.427482174895,8360.427482174895
VALE3.SA,Janela_1,Previsões Originais,True,2023-07-26_VALE3.SA_Janela_1,Compra,60.7589111328125,137.6000215655592,8360.427482174895,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-08-29_VALE3.SA_Janela_1,Venda,56.66941833496094,137.6000215655592,7797.713184998321,7797.713184998321
VALE3.SA,Janela_1,Previsões Originais,True,2023-08-30_VALE3.SA_Janela_1,Compra,56.67814254760742,137.5788414104881,7797.713184998321,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-09-01_VALE3.SA_Janela_1,Venda,60.088600158691406,137.5788414104881,8266.919991810835,8266.919991810835
VALE3.SA,Janela_1,Previsões Originais,True,2023-09-02_VALE3.SA_Janela_1,Compra,60.088600158691406,137.5788414104881,8266.919991810835,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-09-14_VALE3.SA_Janela_1,Venda,61.16145324707031,137.5788414104881,8414.52187671367,8414.52187671367
VALE3.SA,Janela_1,Previsões Originais,True,2023-09-15_VALE3.SA_Janela_1,Compra,60.655555725097656,138.72631741847127,8414.52187671367,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-10-27_VALE3.SA_Janela_1,Venda,58.937236785888665,138.72631741847127,8176.145818126793,8176.145818126793
VALE3.SA,Janela_1,Previsões Originais,True,2023-10-28_VALE3.SA_Janela_1,Compra,58.937236785888665,138.72631741847127,8176.145818126793,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-11-14_VALE3.SA_Janela_1,Venda,64.20557403564453,138.72631741847127,8907.00284370398,8907.00284370398
VALE3.SA,Janela_1,Previsões Originais,True,2023-11-15_VALE3.SA_Janela_1,Compra,64.20557403564453,138.72631741847127,8907.00284370398,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-11-20_VALE3.SA_Janela_1,Venda,66.3425521850586,138.72631741847127,9203.457952775932,9203.457952775932
VALE3.SA,Janela_1,Previsões Originais,True,2023-11-22_VALE3.SA_Janela_1,Compra,65.935302734375,139.5831606302425,9203.457952775932,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-12-21_VALE3.SA_Janela_1,Venda,67.80281066894531,139.5831606302425,9464.130612785313,9464.130612785313
VALE3.SA,Janela_1,Previsões Originais,True,2023-12-22_VALE3.SA_Janela_1,Compra,67.29187774658203,140.64298589536725,9464.130612785313,0.0
VALE3.SA,Janela_1,Previsões Originais,True,2023-12-31_VALE3.SA_Janela_1,Venda Final,68.00540924072266,140.64298589536725,9564.483812651633,9564.483812651633
